date,processed_log_return_wtmra_0,processed_log_return_wtmra_0_year,processed_log_return_wtmra_0_month,processed_log_return_wtmra_0_day,processed_log_return_wtmra_0_hour,processed_log_return_wtmra_0_dayofweek,processed_log_return_wtmra_0_dayofyear,processed_log_return_wtmra_0_days_in_month
2022-01-04 20:00:00,0.4006441543778042,2022,1,4,20,1,4,31
2022-01-04 21:00:00,-0.0298487061218923,2022,1,4,21,1,4,31
2022-01-04 22:00:00,-0.1334867134714551,2022,1,4,22,1,4,31
2022-01-04 23:00:00,0.3393561620905219,2022,1,4,23,1,4,31
2022-01-05 00:00:00,-0.5968237492430033,2022,1,5,0,2,5,31
2022-01-05 01:00:00,0.5968715618254781,2022,1,5,1,2,5,31
2022-01-05 02:00:00,-0.3709754822253208,2022,1,5,2,2,5,31
2022-01-05 03:00:00,0.1254283951135205,2022,1,5,3,2,5,31
2022-01-05 04:00:00,0.0413672525485116,2022,1,5,4,2,5,31
2022-01-05 05:00:00,-0.0460918935821134,2022,1,5,5,2,5,31
2022-01-05 06:00:00,-0.1048849838509834,2022,1,5,6,2,5,31
2022-01-05 07:00:00,0.2554693320254341,2022,1,5,7,2,5,31
2022-01-05 08:00:00,-0.2729796794956809,2022,1,5,8,2,5,31
2022-01-05 09:00:00,0.125796730890888,2022,1,5,9,2,5,31
2022-01-05 10:00:00,0.0364346904800944,2022,1,5,10,2,5,31
2022-01-05 11:00:00,0.0600317481981782,2022,1,5,11,2,5,31
2022-01-05 12:00:00,-0.2596708236071545,2022,1,5,12,2,5,31
2022-01-05 13:00:00,0.227225001237408,2022,1,5,13,2,5,31
2022-01-05 14:00:00,-0.1552462252411123,2022,1,5,14,2,5,31
2022-01-05 15:00:00,0.1664534081509459,2022,1,5,15,2,5,31
2022-01-05 16:00:00,-0.0749851054112792,2022,1,5,16,2,5,31
2022-01-05 17:00:00,0.0106068326487138,2022,1,5,17,2,5,31
2022-01-05 18:00:00,-0.1785037177697388,2022,1,5,18,2,5,31
2022-01-05 19:00:00,0.450340979763169,2022,1,5,19,2,5,31
2022-01-05 20:00:00,-0.4936603854514609,2022,1,5,20,2,5,31
2022-01-05 21:00:00,0.228023367935294,2022,1,5,21,2,5,31
2022-01-05 22:00:00,0.0324840549055692,2022,1,5,22,2,5,31
2022-01-05 23:00:00,-0.0670190222661039,2022,1,5,23,2,5,31
2022-01-06 00:00:00,-0.1334635261322012,2022,1,6,0,3,6,31
2022-01-06 01:00:00,0.3117803155923058,2022,1,6,1,3,6,31
2022-01-06 02:00:00,-0.2071992146364524,2022,1,6,2,3,6,31
2022-01-06 03:00:00,0.207561755038801,2022,1,6,3,3,6,31
2022-01-06 04:00:00,-0.5154216227060786,2022,1,6,4,3,6,31
2022-01-06 05:00:00,0.5432249171336464,2022,1,6,5,3,6,31
2022-01-06 06:00:00,-0.1700681239898147,2022,1,6,6,3,6,31
2022-01-06 07:00:00,-0.1436232508138569,2022,1,6,7,3,6,31
2022-01-06 08:00:00,0.225625761397934,2022,1,6,8,3,6,31
2022-01-06 09:00:00,0.0265706414595622,2022,1,6,9,3,6,31
2022-01-06 10:00:00,-0.4796514207473472,2022,1,6,10,3,6,31
2022-01-06 11:00:00,0.6691710204481468,2022,1,6,11,3,6,31
2022-01-06 12:00:00,-0.484731873173527,2022,1,6,12,3,6,31
2022-01-06 13:00:00,0.0591632178948462,2022,1,6,13,3,6,31
2022-01-06 14:00:00,0.3057089949257011,2022,1,6,14,3,6,31
2022-01-06 15:00:00,-0.2601214919550167,2022,1,6,15,3,6,31
2022-01-06 16:00:00,0.0473518760693151,2022,1,6,16,3,6,31
2022-01-06 17:00:00,0.0305722742234554,2022,1,6,17,3,6,31
2022-01-06 18:00:00,-0.1372323791632656,2022,1,6,18,3,6,31
2022-01-06 19:00:00,0.3253101890483606,2022,1,6,19,3,6,31
2022-01-06 20:00:00,-0.5454262928381989,2022,1,6,20,3,6,31
2022-01-06 21:00:00,0.7934901926983762,2022,1,6,21,3,6,31
2022-01-06 22:00:00,-0.8240606251755062,2022,1,6,22,3,6,31
2022-01-06 23:00:00,0.4977631342099984,2022,1,6,23,3,6,31
2022-01-07 00:00:00,-0.0683432319916664,2022,1,7,0,4,7,31
2022-01-07 01:00:00,-0.2017521464036795,2022,1,7,1,4,7,31
2022-01-07 02:00:00,0.2509223954076081,2022,1,7,2,4,7,31
2022-01-07 03:00:00,0.0611646115058879,2022,1,7,3,4,7,31
2022-01-07 04:00:00,-0.6936780028456985,2022,1,7,4,4,7,31
2022-01-07 05:00:00,0.9145789125636482,2022,1,7,5,4,7,31
2022-01-07 06:00:00,-0.2870001885825978,2022,1,7,6,4,7,31
2022-01-07 07:00:00,-0.3474773610310344,2022,1,7,7,4,7,31
2022-01-07 08:00:00,0.1354642500957591,2022,1,7,8,4,7,31
2022-01-07 09:00:00,0.2755335029490529,2022,1,7,9,4,7,31
2022-01-07 10:00:00,-0.031683698856901,2022,1,7,10,4,7,31
2022-01-07 11:00:00,-0.3903330391604115,2022,1,7,11,4,7,31
2022-01-07 12:00:00,0.2889670896677203,2022,1,7,12,4,7,31
2022-01-07 13:00:00,0.267687907252758,2022,1,7,13,4,7,31
2022-01-07 14:00:00,-0.7453623515010119,2022,1,7,14,4,7,31
2022-01-07 15:00:00,0.8541461643348545,2022,1,7,15,4,7,31
2022-01-07 16:00:00,-0.8568148345183694,2022,1,7,16,4,7,31
2022-01-07 17:00:00,0.7299041829066473,2022,1,7,17,4,7,31
2022-01-07 18:00:00,-0.2067265459891473,2022,1,7,18,4,7,31
2022-01-07 19:00:00,-0.2896056357307767,2022,1,7,19,4,7,31
2022-01-07 20:00:00,0.2612361290454896,2022,1,7,20,4,7,31
2022-01-07 21:00:00,-0.041587112955288,2022,1,7,21,4,7,31
2022-01-07 22:00:00,0.1389402083662346,2022,1,7,22,4,7,31
2022-01-07 23:00:00,-0.2810409729280217,2022,1,7,23,4,7,31
2022-01-08 00:00:00,-0.0097512672668866,2022,1,8,0,5,8,31
2022-01-08 01:00:00,0.3591248888621074,2022,1,8,1,5,8,31
2022-01-08 02:00:00,-0.2682422975830818,2022,1,8,2,5,8,31
2022-01-08 03:00:00,0.0268071102147401,2022,1,8,3,5,8,31
2022-01-08 04:00:00,0.0136319000437032,2022,1,8,4,5,8,31
2022-01-08 05:00:00,0.0158615479660692,2022,1,8,5,5,8,31
2022-01-08 06:00:00,0.0471899389184726,2022,1,8,6,5,8,31
2022-01-08 07:00:00,-0.1225301460890351,2022,1,8,7,5,8,31
2022-01-08 08:00:00,0.1152255499267961,2022,1,8,8,5,8,31
2022-01-08 09:00:00,-0.1646822057417274,2022,1,8,9,5,8,31
2022-01-08 10:00:00,0.3319105175815632,2022,1,8,10,5,8,31
2022-01-08 11:00:00,-0.3319105175815639,2022,1,8,11,5,8,31
2022-01-08 12:00:00,0.128304834734402,2022,1,8,12,5,8,31
2022-01-08 13:00:00,-0.0316970434337223,2022,1,8,13,5,8,31
2022-01-08 14:00:00,0.0508888285488185,2022,1,8,14,5,8,31
2022-01-08 15:00:00,-0.0384460566641925,2022,1,8,15,5,8,31
2022-01-08 16:00:00,-0.0095361759713948,2022,1,8,16,5,8,31
2022-01-08 17:00:00,0.1530950193515326,2022,1,8,17,5,8,31
2022-01-08 18:00:00,-0.1020698731779056,2022,1,8,18,5,8,31
2022-01-08 19:00:00,-0.3168740985143367,2022,1,8,19,5,8,31
2022-01-08 20:00:00,0.5240822733028025,2022,1,8,20,5,8,31
2022-01-08 21:00:00,-0.4602989641769655,2022,1,8,21,5,8,31
2022-01-08 22:00:00,0.1945705089343176,2022,1,8,22,5,8,31
2022-01-08 23:00:00,0.494979126135641,2022,1,8,23,5,8,31
2022-01-09 00:00:00,-0.903332946518794,2022,1,9,0,6,9,31
2022-01-09 01:00:00,0.6279711427822929,2022,1,9,1,6,9,31
2022-01-09 02:00:00,-0.3433704980547861,2022,1,9,2,6,9,31
2022-01-09 03:00:00,0.400994709670783,2022,1,9,3,6,9,31
2022-01-09 04:00:00,-0.5397467190190665,2022,1,9,4,6,9,31
2022-01-09 05:00:00,0.5026739000963394,2022,1,9,5,6,9,31
2022-01-09 06:00:00,-0.3465242560806376,2022,1,9,6,6,9,31
2022-01-09 07:00:00,0.1808592278713467,2022,1,9,7,6,9,31
2022-01-09 08:00:00,0.041538623582047,2022,1,9,8,6,9,31
2022-01-09 09:00:00,-0.1541427220491363,2022,1,9,9,6,9,31
2022-01-09 10:00:00,-0.0075066305568806,2022,1,9,10,6,9,31
2022-01-09 11:00:00,0.1362727835109072,2022,1,9,11,6,9,31
2022-01-09 12:00:00,-0.0743884986959753,2022,1,9,12,6,9,31
2022-01-09 13:00:00,0.1004982087166337,2022,1,9,13,6,9,31
2022-01-09 14:00:00,-0.1988426508838452,2022,1,9,14,6,9,31
2022-01-09 15:00:00,0.1922103765003804,2022,1,9,15,6,9,31
2022-01-09 16:00:00,-0.30937002677488,2022,1,9,16,6,9,31
2022-01-09 17:00:00,0.4781648719715996,2022,1,9,17,6,9,31
2022-01-09 18:00:00,-0.2339978792456202,2022,1,9,18,6,9,31
2022-01-09 19:00:00,-0.2833029998493956,2022,1,9,19,6,9,31
2022-01-09 20:00:00,0.5174288236635045,2022,1,9,20,6,9,31
2022-01-09 21:00:00,-0.2618325608411992,2022,1,9,21,6,9,31
2022-01-09 22:00:00,-0.1343514637561163,2022,1,9,22,6,9,31
2022-01-09 23:00:00,0.2881248860518883,2022,1,9,23,6,9,31
2022-01-10 00:00:00,-0.176996772745569,2022,1,10,0,0,10,31
2022-01-10 01:00:00,-0.071373030591621,2022,1,10,1,0,10,31
2022-01-10 02:00:00,0.1998830565766977,2022,1,10,2,0,10,31
2022-01-10 03:00:00,-0.0485310085526671,2022,1,10,3,0,10,31
2022-01-10 04:00:00,-0.1961513771703201,2022,1,10,4,0,10,31
2022-01-10 05:00:00,0.2068280355101029,2022,1,10,5,0,10,31
2022-01-10 06:00:00,-0.0047945776731853,2022,1,10,6,0,10,31
2022-01-10 07:00:00,-0.0852160608149974,2022,1,10,7,0,10,31
2022-01-10 08:00:00,0.0841708915982093,2022,1,10,8,0,10,31
2022-01-10 09:00:00,-0.1186578394706255,2022,1,10,9,0,10,31
2022-01-10 10:00:00,0.0177398866680204,2022,1,10,10,0,10,31
2022-01-10 11:00:00,0.1543013865651939,2022,1,10,11,0,10,31
2022-01-10 12:00:00,0.0086109609184213,2022,1,10,12,0,10,31
2022-01-10 13:00:00,-0.274976105520304,2022,1,10,13,0,10,31
2022-01-10 14:00:00,0.0900818240603715,2022,1,10,14,0,10,31
2022-01-10 15:00:00,0.2469851406802171,2022,1,10,15,0,10,31
2022-01-10 16:00:00,-0.4732632802444214,2022,1,10,16,0,10,31
2022-01-10 17:00:00,0.7766002309039081,2022,1,10,17,0,10,31
2022-01-10 18:00:00,-0.903216890601051,2022,1,10,18,0,10,31
2022-01-10 19:00:00,0.7040573646303971,2022,1,10,19,0,10,31
2022-01-10 20:00:00,-0.4993893323184185,2022,1,10,20,0,10,31
2022-01-10 21:00:00,0.2687852047904867,2022,1,10,21,0,10,31
2022-01-10 22:00:00,0.0673264704690147,2022,1,10,22,0,10,31
2022-01-10 23:00:00,-0.0801443310356531,2022,1,10,23,0,10,31
2022-01-11 00:00:00,-0.1594508190026215,2022,1,11,0,1,11,31
2022-01-11 01:00:00,0.0348769173288358,2022,1,11,1,1,11,31
2022-01-11 02:00:00,0.2569682693771109,2022,1,11,2,1,11,31
2022-01-11 03:00:00,-0.3081548963184605,2022,1,11,3,1,11,31
2022-01-11 04:00:00,0.2918417185964371,2022,1,11,4,1,11,31
2022-01-11 05:00:00,-0.1645172513035713,2022,1,11,5,1,11,31
2022-01-11 06:00:00,-0.0729414034149925,2022,1,11,6,1,11,31
2022-01-11 07:00:00,0.0556882619417942,2022,1,11,7,1,11,31
2022-01-11 08:00:00,0.1477710050678811,2022,1,11,8,1,11,31
2022-01-11 09:00:00,-0.1787693446760999,2022,1,11,9,1,11,31
2022-01-11 10:00:00,0.125089305631377,2022,1,11,10,1,11,31
2022-01-11 11:00:00,-0.1639937941531701,2022,1,11,11,1,11,31
2022-01-11 12:00:00,0.0779542476774577,2022,1,11,12,1,11,31
2022-01-11 13:00:00,0.10780303527257,2022,1,11,13,1,11,31
2022-01-11 14:00:00,-0.0060888867433472,2022,1,11,14,1,11,31
2022-01-11 15:00:00,-0.2194355688780558,2022,1,11,15,1,11,31
2022-01-11 16:00:00,0.0430558506620634,2022,1,11,16,1,11,31
2022-01-11 17:00:00,0.2478748295489875,2022,1,11,17,1,11,31
2022-01-11 18:00:00,-0.1382985110298242,2022,1,11,18,1,11,31
2022-01-11 19:00:00,-0.0110657350734738,2022,1,11,19,1,11,31
2022-01-11 20:00:00,-0.061169134316282,2022,1,11,20,1,11,31
2022-01-11 21:00:00,0.0817730224056459,2022,1,11,21,1,11,31
2022-01-11 22:00:00,0.0442152310283434,2022,1,11,22,1,11,31
2022-01-11 23:00:00,-0.1754418178183087,2022,1,11,23,1,11,31
2022-01-12 00:00:00,0.1302436042435854,2022,1,12,0,2,12,31
2022-01-12 01:00:00,0.0054494752580414,2022,1,12,1,2,12,31
2022-01-12 02:00:00,0.0586294895795027,2022,1,12,2,2,12,31
2022-01-12 03:00:00,-0.3746517250858932,2022,1,12,3,2,12,31
2022-01-12 04:00:00,0.6201356249612688,2022,1,12,4,2,12,31
2022-01-12 05:00:00,-0.5439353789922313,2022,1,12,5,2,12,31
2022-01-12 06:00:00,0.3580252152354495,2022,1,12,6,2,12,31
2022-01-12 07:00:00,-0.1142852787181734,2022,1,12,7,2,12,31
2022-01-12 08:00:00,-0.208065778806253,2022,1,12,8,2,12,31
2022-01-12 09:00:00,0.1507638633932773,2022,1,12,9,2,12,31
2022-01-12 10:00:00,0.2511409051445498,2022,1,12,10,2,12,31
2022-01-12 11:00:00,-0.360111125518776,2022,1,12,11,2,12,31
2022-01-12 12:00:00,0.1498975417911567,2022,1,12,12,2,12,31
2022-01-12 13:00:00,-0.1302532679253465,2022,1,12,13,2,12,31
2022-01-12 14:00:00,0.3106923763166435,2022,1,12,14,2,12,31
2022-01-12 15:00:00,-0.238851307436955,2022,1,12,15,2,12,31
2022-01-12 16:00:00,-0.033544044251263,2022,1,12,16,2,12,31
2022-01-12 17:00:00,0.1426386046977439,2022,1,12,17,2,12,31
2022-01-12 18:00:00,-0.0187575629037032,2022,1,12,18,2,12,31
2022-01-12 19:00:00,-0.1818691364025338,2022,1,12,19,2,12,31
2022-01-12 20:00:00,0.1558013857294428,2022,1,12,20,2,12,31
2022-01-12 21:00:00,0.1005299532979724,2022,1,12,21,2,12,31
2022-01-12 22:00:00,-0.1838786473278322,2022,1,12,22,2,12,31
2022-01-12 23:00:00,0.0365866412549603,2022,1,12,23,2,12,31
2022-01-13 00:00:00,-0.1026699084574179,2022,1,13,0,3,13,31
2022-01-13 01:00:00,0.2975566993300962,2022,1,13,1,3,13,31
2022-01-13 02:00:00,-0.0836672372517214,2022,1,13,2,3,13,31
2022-01-13 03:00:00,-0.1525579273131272,2022,1,13,3,3,13,31
2022-01-13 04:00:00,-0.0613468723838514,2022,1,13,4,3,13,31
2022-01-13 05:00:00,0.3031620719190965,2022,1,13,5,3,13,31
2022-01-13 06:00:00,-0.3171216677628966,2022,1,13,6,3,13,31
2022-01-13 07:00:00,0.2299310921492945,2022,1,13,7,3,13,31
2022-01-13 08:00:00,-0.2437921250571031,2022,1,13,8,3,13,31
2022-01-13 09:00:00,0.3579988066134102,2022,1,13,9,3,13,31
2022-01-13 10:00:00,-0.3278113348189396,2022,1,13,10,3,13,31
2022-01-13 11:00:00,0.3611431873874739,2022,1,13,11,3,13,31
2022-01-13 12:00:00,-0.5523273628326862,2022,1,13,12,3,13,31
2022-01-13 13:00:00,0.446508304467608,2022,1,13,13,3,13,31
2022-01-13 14:00:00,-0.2675231620439431,2022,1,13,14,3,13,31
2022-01-13 15:00:00,0.4776653034078348,2022,1,13,15,3,13,31
2022-01-13 16:00:00,-0.6006095393416216,2022,1,13,16,3,13,31
2022-01-13 17:00:00,0.39792763303386,2022,1,13,17,3,13,31
2022-01-13 18:00:00,-0.2014605255742995,2022,1,13,18,3,13,31
2022-01-13 19:00:00,0.0301419962904647,2022,1,13,19,3,13,31
2022-01-13 20:00:00,-0.010427897552664,2022,1,13,20,3,13,31
2022-01-13 21:00:00,0.1243865048279921,2022,1,13,21,3,13,31
2022-01-13 22:00:00,-0.006739883301268,2022,1,13,22,3,13,31
2022-01-13 23:00:00,-0.0979731696484596,2022,1,13,23,3,13,31
2022-01-14 00:00:00,-0.1515420940979601,2022,1,14,0,4,14,31
2022-01-14 01:00:00,0.3772503655626498,2022,1,14,1,4,14,31
2022-01-14 02:00:00,-0.3043844408078847,2022,1,14,2,4,14,31
2022-01-14 03:00:00,0.1999798999645357,2022,1,14,3,4,14,31
2022-01-14 04:00:00,-0.1392727896683477,2022,1,14,4,4,14,31
